Step,avid-valley-27 - FID Score,avid-valley-27 - FID Score__MIN,avid-valley-27 - FID Score__MAX,desert-dew-26 - FID Score,desert-dew-26 - FID Score__MIN,desert-dew-26 - FID Score__MAX,fresh-tree-25 - FID Score,fresh-tree-25 - FID Score__MIN,fresh-tree-25 - FID Score__MAX,wild-valley-24 - FID Score,wild-valley-24 - FID Score__MIN,wild-valley-24 - FID Score__MAX,eternal-star-23 - FID Score,eternal-star-23 - FID Score__MIN,eternal-star-23 - FID Score__MAX,denim-flower-17 - FID Score,denim-flower-17 - FID Score__MIN,denim-flower-17 - FID Score__MAX,feasible-glitter-14 - FID Score,feasible-glitter-14 - FID Score__MIN,feasible-glitter-14 - FID Score__MAX,rare-dragon-13 - FID Score,rare-dragon-13 - FID Score__MIN,rare-dragon-13 - FID Score__MAX,rural-hill-12 - FID Score,rural-hill-12 - FID Score__MIN,rural-hill-12 - FID Score__MAX,clean-elevator-11 - FID Score,clean-elevator-11 - FID Score__MIN,clean-elevator-11 - FID Score__MAX
21,53.03896951490791,53.03896951490791,53.03896951490791,49.81021196392491,49.81021196392491,49.81021196392491,51.20886087664086,51.20886087664086,51.20886087664086,49.591187589190426,49.591187589190426,49.591187589190426,52.13574797900051,52.13574797900051,52.13574797900051,51.1065201777361,51.1065201777361,51.1065201777361,50.792696391321414,50.792696391321414,50.792696391321414,59.02923397708538,59.02923397708538,59.02923397708538,56.14560482802497,56.14560482802497,56.14560482802497,51.93387036359108,51.93387036359108,51.93387036359108
22,55.881624862777485,55.881624862777485,55.881624862777485,50.95977588202402,50.95977588202402,50.95977588202402,48.992253800632454,48.992253800632454,48.992253800632454,52.356724969866484,52.356724969866484,52.356724969866484,51.642634613603924,51.642634613603924,51.642634613603924,50.45462943977034,50.45462943977034,50.45462943977034,54.478974872453904,54.478974872453904,54.478974872453904,48.115811614473905,48.115811614473905,48.115811614473905,51.46149566291624,51.46149566291624,51.46149566291624,51.88405857154914,51.88405857154914,51.88405857154914
23,53.136162922018,53.136162922018,53.136162922018,49.197588475102506,49.197588475102506,49.197588475102506,54.43231418267289,54.43231418267289,54.43231418267289,50.710383376617905,50.710383376617905,50.710383376617905,52.74989455215906,52.74989455215906,52.74989455215906,50.28328202734384,50.28328202734384,50.28328202734384,50.87442358091866,50.87442358091866,50.87442358091866,53.119469261859535,53.119469261859535,53.119469261859535,49.77641302618524,49.77641302618524,49.77641302618524,55.25798512117503,55.25798512117503,55.25798512117503
24,56.311462556087235,56.311462556087235,56.311462556087235,53.462146119217536,53.462146119217536,53.462146119217536,52.966335588577394,52.966335588577394,52.966335588577394,50.76684072389497,50.76684072389497,50.76684072389497,56.30393513984417,56.30393513984417,56.30393513984417,51.46643641878065,51.46643641878065,51.46643641878065,46.608945068110856,46.608945068110856,46.608945068110856,53.150801702312194,53.150801702312194,53.150801702312194,55.853570055862384,55.853570055862384,55.853570055862384,49.651306582096566,49.651306582096566,49.651306582096566
25,47.785623585584574,47.785623585584574,47.785623585584574,53.035975560791165,53.035975560791165,53.035975560791165,51.807844866761656,51.807844866761656,51.807844866761656,49.651038943893354,49.651038943893354,49.651038943893354,51.94664645181844,51.94664645181844,51.94664645181844,51.932407664807975,51.932407664807975,51.932407664807975,53.97673789360127,53.97673789360127,53.97673789360127,49.64439033887935,49.64439033887935,49.64439033887935,48.845955152743954,48.845955152743954,48.845955152743954,50.45806655067038,50.45806655067038,50.45806655067038
26,48.1998637646024,48.1998637646024,48.1998637646024,56.06491733773045,56.06491733773045,56.06491733773045,57.17999352189553,57.17999352189553,57.17999352189553,50.49048741117768,50.49048741117768,50.49048741117768,52.02426414588487,52.02426414588487,52.02426414588487,48.47501719921732,48.47501719921732,48.47501719921732,52.514116948953,52.514116948953,52.514116948953,49.25695395537595,49.25695395537595,49.25695395537595,50.56823436345982,50.56823436345982,50.56823436345982,52.133006313682245,52.133006313682245,52.133006313682245
27,48.15089714433749,48.15089714433749,48.15089714433749,55.04389087678912,55.04389087678912,55.04389087678912,51.626544065580696,51.626544065580696,51.626544065580696,49.642070310839586,49.642070310839586,49.642070310839586,49.05781613122949,49.05781613122949,49.05781613122949,49.53676693125675,49.53676693125675,49.53676693125675,50.229692412158755,50.229692412158755,50.229692412158755,47.66713630100903,47.66713630100903,47.66713630100903,57.078575955758176,57.078575955758176,57.078575955758176,51.961126026177936,51.961126026177936,51.961126026177936
28,48.47943171233108,48.47943171233108,48.47943171233108,46.87708538508447,46.87708538508447,46.87708538508447,52.952229053240444,52.952229053240444,52.952229053240444,52.4326272260616,52.4326272260616,52.4326272260616,50.41091542286104,50.41091542286104,50.41091542286104,49.33605935046553,49.33605935046553,49.33605935046553,53.48045797253203,53.48045797253203,53.48045797253203,49.55891150491017,49.55891150491017,49.55891150491017,60.55074591738001,60.55074591738001,60.55074591738001,51.5623068600383,51.5623068600383,51.5623068600383
29,49.55583499213,49.55583499213,49.55583499213,50.241365546313006,50.241365546313006,50.241365546313006,55.15121573364105,55.15121573364105,55.15121573364105,51.69867665807469,51.69867665807469,51.69867665807469,50.306236561136444,50.306236561136444,50.306236561136444,47.890778346809135,47.890778346809135,47.890778346809135,52.156098617266004,52.156098617266004,52.156098617266004,55.26884729515107,55.26884729515107,55.26884729515107,54.47587813178433,54.47587813178433,54.47587813178433,53.815633512929054,53.815633512929054,53.815633512929054
30,53.1252254327535,53.1252254327535,53.1252254327535,50.61620859357696,50.61620859357696,50.61620859357696,53.94049964463781,53.94049964463781,53.94049964463781,47.11453817946071,47.11453817946071,47.11453817946071,54.953391491418486,54.953391491418486,54.953391491418486,52.493140670669824,52.493140670669824,52.493140670669824,54.270786287170324,54.270786287170324,54.270786287170324,52.556018960367574,52.556018960367574,52.556018960367574,55.29973527158461,55.29973527158461,55.29973527158461,54.14523731194164,54.14523731194164,54.14523731194164
31,52.0781963017647,52.0781963017647,52.0781963017647,51.6605219591077,51.6605219591077,51.6605219591077,52.61442620957148,52.61442620957148,52.61442620957148,51.079651719729625,51.079651719729625,51.079651719729625,47.315271195267755,47.315271195267755,47.315271195267755,51.1755299906857,51.1755299906857,51.1755299906857,51.48735906913088,51.48735906913088,51.48735906913088,49.565669271151066,49.565669271151066,49.565669271151066,51.165580614513644,51.165580614513644,51.165580614513644,48.263776916617545,48.263776916617545,48.263776916617545
32,47.66296087185654,47.66296087185654,47.66296087185654,55.47346480876682,55.47346480876682,55.47346480876682,53.75858188606365,53.75858188606365,53.75858188606365,53.967228699166625,53.967228699166625,53.967228699166625,56.3713880478855,56.3713880478855,56.3713880478855,50.41945407497799,50.41945407497799,50.41945407497799,52.78216244295113,52.78216244295113,52.78216244295113,49.25364159791192,49.25364159791192,49.25364159791192,51.377960636362076,51.377960636362076,51.377960636362076,51.768424070914804,51.768424070914804,51.768424070914804
33,50.13033537427563,50.13033537427563,50.13033537427563,51.04232530287782,51.04232530287782,51.04232530287782,52.34826263000659,52.34826263000659,52.34826263000659,48.73955316325904,48.73955316325904,48.73955316325904,49.671757292143795,49.671757292143795,49.671757292143795,52.78527473702164,52.78527473702164,52.78527473702164,51.87756474929415,51.87756474929415,51.87756474929415,51.91083130800925,51.91083130800925,51.91083130800925,59.46929434278739,59.46929434278739,59.46929434278739,53.3921683492199,53.3921683492199,53.3921683492199
34,55.029315367232904,55.029315367232904,55.029315367232904,50.01980925294991,50.01980925294991,50.01980925294991,49.22268124657472,49.22268124657472,49.22268124657472,56.427147886118384,56.427147886118384,56.427147886118384,55.707953231294034,55.707953231294034,55.707953231294034,52.247585195533006,52.247585195533006,52.247585195533006,52.86552057403334,52.86552057403334,52.86552057403334,54.157001667480884,54.157001667480884,54.157001667480884,53.8039754396272,53.8039754396272,53.8039754396272,50.31870810211579,50.31870810211579,50.31870810211579
