Step,denim-morning-29 - FID Score,denim-morning-29 - FID Score__MIN,denim-morning-29 - FID Score__MAX,expert-terrain-28 - FID Score,expert-terrain-28 - FID Score__MIN,expert-terrain-28 - FID Score__MAX,sunny-thunder-27 - FID Score,sunny-thunder-27 - FID Score__MIN,sunny-thunder-27 - FID Score__MAX,misty-field-26 - FID Score,misty-field-26 - FID Score__MIN,misty-field-26 - FID Score__MAX,prime-totem-25 - FID Score,prime-totem-25 - FID Score__MIN,prime-totem-25 - FID Score__MAX,misunderstood-moon-24 - FID Score,misunderstood-moon-24 - FID Score__MIN,misunderstood-moon-24 - FID Score__MAX,misunderstood-tree-23 - FID Score,misunderstood-tree-23 - FID Score__MIN,misunderstood-tree-23 - FID Score__MAX,prime-music-22 - FID Score,prime-music-22 - FID Score__MIN,prime-music-22 - FID Score__MAX,legendary-surf-21 - FID Score,legendary-surf-21 - FID Score__MIN,legendary-surf-21 - FID Score__MAX,clean-sponge-20 - FID Score,clean-sponge-20 - FID Score__MIN,clean-sponge-20 - FID Score__MAX
22,33.561182241697615,33.561182241697615,33.561182241697615,33.66963378294693,33.66963378294693,33.66963378294693,35.404939319147985,35.404939319147985,35.404939319147985,31.35575082071678,31.35575082071678,31.35575082071678,32.58263136918205,32.58263136918205,32.58263136918205,30.67151157381243,30.67151157381243,30.67151157381243,27.862038467543364,27.862038467543364,27.862038467543364,34.94114518223722,34.94114518223722,34.94114518223722,32.71289447410324,32.71289447410324,32.71289447410324,31.229232733075012,31.229232733075012,31.229232733075012
23,34.1695850261584,34.1695850261584,34.1695850261584,35.83048064398294,35.83048064398294,35.83048064398294,33.078863928033485,33.078863928033485,33.078863928033485,26.649310420177656,26.649310420177656,26.649310420177656,28.39867904038742,28.39867904038742,28.39867904038742,33.54967177800633,33.54967177800633,33.54967177800633,31.23681006316828,31.23681006316828,31.23681006316828,28.01936832364104,28.01936832364104,28.01936832364104,39.59549996115757,39.59549996115757,39.59549996115757,36.66614392957675,36.66614392957675,36.66614392957675
24,27.591544218992045,27.591544218992045,27.591544218992045,35.150018025180586,35.150018025180586,35.150018025180586,40.064297114668015,40.064297114668015,40.064297114668015,36.207725474154905,36.207725474154905,36.207725474154905,38.39310164466895,38.39310164466895,38.39310164466895,30.776293152738766,30.776293152738766,30.776293152738766,40.09249332072108,40.09249332072108,40.09249332072108,24.892478701728507,24.892478701728507,24.892478701728507,36.03342077958653,36.03342077958653,36.03342077958653,28.54317975536489,28.54317975536489,28.54317975536489
25,35.32258850814458,35.32258850814458,35.32258850814458,30.084279225010174,30.084279225010174,30.084279225010174,35.768073097553554,35.768073097553554,35.768073097553554,34.46574866461152,34.46574866461152,34.46574866461152,35.35583208443265,35.35583208443265,35.35583208443265,32.00255056874714,32.00255056874714,32.00255056874714,31.996785736407993,31.996785736407993,31.996785736407993,27.629382281468015,27.629382281468015,27.629382281468015,34.92013784483591,34.92013784483591,34.92013784483591,31.402024079584375,31.402024079584375,31.402024079584375
26,34.96254540222265,34.96254540222265,34.96254540222265,32.52346228510313,32.52346228510313,32.52346228510313,35.60320818485082,35.60320818485082,35.60320818485082,27.432801568006244,27.432801568006244,27.432801568006244,31.33836181441366,31.33836181441366,31.33836181441366,31.8814898937511,31.8814898937511,31.8814898937511,30.117704605610776,30.117704605610776,30.117704605610776,25.544413899643484,25.544413899643484,25.544413899643484,30.56786035685962,30.56786035685962,30.56786035685962,31.133593487766937,31.133593487766937,31.133593487766937
27,30.722939764332224,30.722939764332224,30.722939764332224,34.7091177240037,34.7091177240037,34.7091177240037,37.54576241558439,37.54576241558439,37.54576241558439,31.01158857322428,31.01158857322428,31.01158857322428,30.076464825917725,30.076464825917725,30.076464825917725,32.11832449201539,32.11832449201539,32.11832449201539,29.844478425037792,29.844478425037792,29.844478425037792,27.91574082063738,27.91574082063738,27.91574082063738,35.32925872839737,35.32925872839737,35.32925872839737,30.983039759760914,30.983039759760914,30.983039759760914
28,31.199439563427408,31.199439563427408,31.199439563427408,34.20108007771104,34.20108007771104,34.20108007771104,37.43776212271502,37.43776212271502,37.43776212271502,32.41852903465674,32.41852903465674,32.41852903465674,32.70067524212099,32.70067524212099,32.70067524212099,32.90831307184004,32.90831307184004,32.90831307184004,28.348806456147088,28.348806456147088,28.348806456147088,27.383686398974195,27.383686398974195,27.383686398974195,34.007245323129894,34.007245323129894,34.007245323129894,30.86087619132507,30.86087619132507,30.86087619132507
29,31.13771154642823,31.13771154642823,31.13771154642823,33.8431293735976,33.8431293735976,33.8431293735976,37.22643589360932,37.22643589360932,37.22643589360932,30.738583575418183,30.738583575418183,30.738583575418183,32.12016460256417,32.12016460256417,32.12016460256417,28.863696863381573,28.863696863381573,28.863696863381573,35.14994577618701,35.14994577618701,35.14994577618701,36.05374277410258,36.05374277410258,36.05374277410258,32.402639186757206,32.402639186757206,32.402639186757206,31.111702692655257,31.111702692655257,31.111702692655257
30,32.67086839932843,32.67086839932843,32.67086839932843,31.184541585626405,31.184541585626405,31.184541585626405,32.75234467053778,32.75234467053778,32.75234467053778,35.0901237747229,35.0901237747229,35.0901237747229,32.64440985429191,32.64440985429191,32.64440985429191,28.68597466476468,28.68597466476468,28.68597466476468,35.55138338134937,35.55138338134937,35.55138338134937,31.286697066072406,31.286697066072406,31.286697066072406,38.876158871594264,38.876158871594264,38.876158871594264,33.6989172905147,33.6989172905147,33.6989172905147
31,37.147771122600346,37.147771122600346,37.147771122600346,36.89324550582035,36.89324550582035,36.89324550582035,33.52123428855576,33.52123428855576,33.52123428855576,30.737373206055423,30.737373206055423,30.737373206055423,33.39928230824209,33.39928230824209,33.39928230824209,29.959978863126395,29.959978863126395,29.959978863126395,29.325655059137983,29.325655059137983,29.325655059137983,31.223668723810487,31.223668723810487,31.223668723810487,33.8187645335087,33.8187645335087,33.8187645335087,32.35118980383833,32.35118980383833,32.35118980383833
