Step,colorful-cherry-71 - FID Score,colorful-cherry-71 - FID Score__MIN,colorful-cherry-71 - FID Score__MAX,peach-shadow-70 - FID Score,peach-shadow-70 - FID Score__MIN,peach-shadow-70 - FID Score__MAX,jumping-shadow-69 - FID Score,jumping-shadow-69 - FID Score__MIN,jumping-shadow-69 - FID Score__MAX,whole-disco-68 - FID Score,whole-disco-68 - FID Score__MIN,whole-disco-68 - FID Score__MAX,fragrant-mountain-67 - FID Score,fragrant-mountain-67 - FID Score__MIN,fragrant-mountain-67 - FID Score__MAX,ancient-microwave-66 - FID Score,ancient-microwave-66 - FID Score__MIN,ancient-microwave-66 - FID Score__MAX,efficient-universe-65 - FID Score,efficient-universe-65 - FID Score__MIN,efficient-universe-65 - FID Score__MAX,usual-bird-64 - FID Score,usual-bird-64 - FID Score__MIN,usual-bird-64 - FID Score__MAX,neat-voice-63 - FID Score,neat-voice-63 - FID Score__MIN,neat-voice-63 - FID Score__MAX,pretty-aardvark-62 - FID Score,pretty-aardvark-62 - FID Score__MIN,pretty-aardvark-62 - FID Score__MAX
23,77.34194199412674,77.34194199412674,77.34194199412674,75.04333722425805,75.04333722425805,75.04333722425805,75.71018159645686,75.71018159645686,75.71018159645686,75.04226016981539,75.04226016981539,75.04226016981539,76.00414823757853,76.00414823757853,76.00414823757853,79.29332961209423,79.29332961209423,79.29332961209423,77.20215141159285,77.20215141159285,77.20215141159285,76.7551608412135,76.7551608412135,76.7551608412135,76.3344455545512,76.3344455545512,76.3344455545512,79.08218547910263,79.08218547910263,79.08218547910263
24,75.68899364257777,75.68899364257777,75.68899364257777,76.32166751572623,76.32166751572623,76.32166751572623,75.28015343440478,75.28015343440478,75.28015343440478,75.36366046560926,75.36366046560926,75.36366046560926,75.79132551987153,75.79132551987153,75.79132551987153,75.2733789261002,75.2733789261002,75.2733789261002,73.35260334730548,73.35260334730548,73.35260334730548,78.3232060638438,78.3232060638438,78.3232060638438,78.97359812072213,78.97359812072213,78.97359812072213,75.94459800390844,75.94459800390844,75.94459800390844
25,77.58462234757611,77.58462234757611,77.58462234757611,74.35354466477908,74.35354466477908,74.35354466477908,77.8074058683973,77.8074058683973,77.8074058683973,72.41219919988089,72.41219919988089,72.41219919988089,79.84901112761736,79.84901112761736,79.84901112761736,77.97615818643675,77.97615818643675,77.97615818643675,73.69682172901105,73.69682172901105,73.69682172901105,78.67959975238209,78.67959975238209,78.67959975238209,77.71161374324453,77.71161374324453,77.71161374324453,76.95753753784976,76.95753753784976,76.95753753784976
26,75.2485434481444,75.2485434481444,75.2485434481444,76.37531552289033,76.37531552289033,76.37531552289033,75.28320303648609,75.28320303648609,75.28320303648609,73.60412598185282,73.60412598185282,73.60412598185282,78.81180119241476,78.81180119241476,78.81180119241476,76.10075343688293,76.10075343688293,76.10075343688293,79.09630003545759,79.09630003545759,79.09630003545759,79.13737990982207,79.13737990982207,79.13737990982207,77.82573028276161,77.82573028276161,77.82573028276161,77.13297908687895,77.13297908687895,77.13297908687895
27,74.5494761018317,74.5494761018317,74.5494761018317,72.71752577122015,72.71752577122015,72.71752577122015,73.79357187705244,73.79357187705244,73.79357187705244,74.8657894001577,74.8657894001577,74.8657894001577,75.84017940475465,75.84017940475465,75.84017940475465,76.90858955665905,76.90858955665905,76.90858955665905,72.03350451876624,72.03350451876624,72.03350451876624,78.65058477781626,78.65058477781626,78.65058477781626,78.35420734270417,78.35420734270417,78.35420734270417,73.65107986471025,73.65107986471025,73.65107986471025
28,76.84428210641575,76.84428210641575,76.84428210641575,74.00086177098586,74.00086177098586,74.00086177098586,76.20160234502765,76.20160234502765,76.20160234502765,75.5064505828246,75.5064505828246,75.5064505828246,75.76501805472422,75.76501805472422,75.76501805472422,74.39127507457232,74.39127507457232,74.39127507457232,73.94061512489263,73.94061512489263,73.94061512489263,75.49058087210838,75.49058087210838,75.49058087210838,76.01375469923795,76.01375469923795,76.01375469923795,72.51206014231379,72.51206014231379,72.51206014231379
29,77.6596765191516,77.6596765191516,77.6596765191516,75.30939840426075,75.30939840426075,75.30939840426075,77.52641601720335,77.52641601720335,77.52641601720335,73.55387129328673,73.55387129328673,73.55387129328673,76.82419375121152,76.82419375121152,76.82419375121152,73.35864967714254,73.35864967714254,73.35864967714254,77.40962999371291,77.40962999371291,77.40962999371291,76.23638682238965,76.23638682238965,76.23638682238965,74.61453791439885,74.61453791439885,74.61453791439885,76.01352557556146,76.01352557556146,76.01352557556146
30,75.77297754058205,75.77297754058205,75.77297754058205,80.7372116572183,80.7372116572183,80.7372116572183,76.00667640526193,76.00667640526193,76.00667640526193,73.7650407689654,73.7650407689654,73.7650407689654,76.94176016522496,76.94176016522496,76.94176016522496,72.9225534687685,72.9225534687685,72.9225534687685,78.0275732837052,78.0275732837052,78.0275732837052,75.48340998095233,75.48340998095233,75.48340998095233,78.58972074091872,78.58972074091872,78.58972074091872,76.0371738956863,76.0371738956863,76.0371738956863
31,72.54325093911186,72.54325093911186,72.54325093911186,73.12103807623095,73.12103807623095,73.12103807623095,77.7556883219261,77.7556883219261,77.7556883219261,75.2070170549861,75.2070170549861,75.2070170549861,74.17946017525884,74.17946017525884,74.17946017525884,77.47993692059052,77.47993692059052,77.47993692059052,79.79105851181536,79.79105851181536,79.79105851181536,79.78599075298135,79.78599075298135,79.78599075298135,72.70983128049102,72.70983128049102,72.70983128049102,74.06281672843626,74.06281672843626,74.06281672843626
32,75.38990103012054,75.38990103012054,75.38990103012054,80.35007827870518,80.35007827870518,80.35007827870518,75.38401806198364,75.38401806198364,75.38401806198364,77.22611909152849,77.22611909152849,77.22611909152849,78.02928040921702,78.02928040921702,78.02928040921702,74.379501204665,74.379501204665,74.379501204665,79.58305555651631,79.58305555651631,79.58305555651631,73.53872678314222,73.53872678314222,73.53872678314222,74.71956887977198,74.71956887977198,74.71956887977198,73.86621219039031,73.86621219039031,73.86621219039031
33,74.83236153694568,74.83236153694568,74.83236153694568,74.42168073869577,74.42168073869577,74.42168073869577,76.49551312437262,76.49551312437262,76.49551312437262,77.09336081519524,77.09336081519524,77.09336081519524,78.49455082225145,78.49455082225145,78.49455082225145,78.97800037923153,78.97800037923153,78.97800037923153,74.21939646762895,74.21939646762895,74.21939646762895,73.80932044207123,73.80932044207123,73.80932044207123,74.1677114337736,74.1677114337736,74.1677114337736,74.4143817953662,74.4143817953662,74.4143817953662
34,77.74481848659292,77.74481848659292,77.74481848659292,76.46602745583115,76.46602745583115,76.46602745583115,73.48878970002559,73.48878970002559,73.48878970002559,74.34644434102967,74.34644434102967,74.34644434102967,79.56658040014256,79.56658040014256,79.56658040014256,75.27790377944444,75.27790377944444,75.27790377944444,74.92634468513897,74.92634468513897,74.92634468513897,73.0865606674572,73.0865606674572,73.0865606674572,78.23256785930712,78.23256785930712,78.23256785930712,79.28316434430633,79.28316434430633,79.28316434430633
35,79.55887818947083,79.55887818947083,79.55887818947083,79.28131448701436,79.28131448701436,79.28131448701436,72.5442705396456,72.5442705396456,72.5442705396456,75.9483660587382,75.9483660587382,75.9483660587382,74.49150166239008,74.49150166239008,74.49150166239008,72.45432167295047,72.45432167295047,72.45432167295047,72.52324844122704,72.52324844122704,72.52324844122704,74.82141646303512,74.82141646303512,74.82141646303512,74.72708771053541,74.72708771053541,74.72708771053541,76.4387924712484,76.4387924712484,76.4387924712484
36,77.92125869758584,77.92125869758584,77.92125869758584,75.94212974376128,75.94212974376128,75.94212974376128,75.5770091672467,75.5770091672467,75.5770091672467,73.6508991740844,73.6508991740844,73.6508991740844,74.56337553191236,74.56337553191236,74.56337553191236,73.67383375401869,73.67383375401869,73.67383375401869,73.31830703846957,73.31830703846957,73.31830703846957,74.63498272984486,74.63498272984486,74.63498272984486,78.2677747372745,78.2677747372745,78.2677747372745,77.15877556241603,77.15877556241603,77.15877556241603
37,73.7140092342371,73.7140092342371,73.7140092342371,71.96349736841454,71.96349736841454,71.96349736841454,78.78841622968908,78.78841622968908,78.78841622968908,77.40745379712803,77.40745379712803,77.40745379712803,76.53558526736678,76.53558526736678,76.53558526736678,75.15973266240042,75.15973266240042,75.15973266240042,75.59912220922135,75.59912220922135,75.59912220922135,76.01542083063578,76.01542083063578,76.01542083063578,77.99484763306177,77.99484763306177,77.99484763306177,76.82175906535177,76.82175906535177,76.82175906535177
38,81.14456101608864,81.14456101608864,81.14456101608864,74.76990836856291,74.76990836856291,74.76990836856291,77.5922488979517,77.5922488979517,77.5922488979517,74.76627987003697,74.76627987003697,74.76627987003697,75.14525713818574,75.14525713818574,75.14525713818574,75.23678419467649,75.23678419467649,75.23678419467649,75.88357598473458,75.88357598473458,75.88357598473458,77.71515442831662,77.71515442831662,77.71515442831662,74.75527688821037,74.75527688821037,74.75527688821037,74.5376252926113,74.5376252926113,74.5376252926113
39,75.56219281878631,75.56219281878631,75.56219281878631,76.0450290727407,76.0450290727407,76.0450290727407,79.47323116326882,79.47323116326882,79.47323116326882,73.84795102343993,73.84795102343993,73.84795102343993,76.94928958211983,76.94928958211983,76.94928958211983,73.92191789682037,73.92191789682037,73.92191789682037,76.35104219085876,76.35104219085876,76.35104219085876,74.91758836037722,74.91758836037722,74.91758836037722,73.86273958096976,73.86273958096976,73.86273958096976,73.73861627476805,73.73861627476805,73.73861627476805
40,73.29136409798268,73.29136409798268,73.29136409798268,75.32900722007318,75.32900722007318,75.32900722007318,73.65013684843748,73.65013684843748,73.65013684843748,77.72829530544051,77.72829530544051,77.72829530544051,72.10664851540274,72.10664851540274,72.10664851540274,73.68511841110819,73.68511841110819,73.68511841110819,75.76345595222486,75.76345595222486,75.76345595222486,73.60663014534367,73.60663014534367,73.60663014534367,78.77657773517913,78.77657773517913,78.77657773517913,74.40999595088317,74.40999595088317,74.40999595088317
41,76.83019545481261,76.83019545481261,76.83019545481261,76.43916010025066,76.43916010025066,76.43916010025066,75.1818815879922,75.1818815879922,75.1818815879922,72.78591310970488,72.78591310970488,72.78591310970488,77.83302490163064,77.83302490163064,77.83302490163064,74.55419798500071,74.55419798500071,74.55419798500071,75.40819800875133,75.40819800875133,75.40819800875133,76.92967365519995,76.92967365519995,76.92967365519995,78.44706329437354,78.44706329437354,78.44706329437354,71.93795017486869,71.93795017486869,71.93795017486869
42,77.51870392505883,77.51870392505883,77.51870392505883,75.70697235719115,75.70697235719115,75.70697235719115,76.57231031258493,76.57231031258493,76.57231031258493,77.82656485321093,77.82656485321093,77.82656485321093,79.22206781313295,79.22206781313295,79.22206781313295,74.87165836656206,74.87165836656206,74.87165836656206,75.34016525195813,75.34016525195813,75.34016525195813,75.40006685286309,75.40006685286309,75.40006685286309,75.16306135836265,75.16306135836265,75.16306135836265,75.77567232070291,75.77567232070291,75.77567232070291
43,75.57810090028053,75.57810090028053,75.57810090028053,72.90432073194269,72.90432073194269,72.90432073194269,76.62975813810806,76.62975813810806,76.62975813810806,74.56817498240704,74.56817498240704,74.56817498240704,79.38698900212714,79.38698900212714,79.38698900212714,74.14143801943207,74.14143801943207,74.14143801943207,71.68165653817776,71.68165653817776,71.68165653817776,79.73294842017545,79.73294842017545,79.73294842017545,80.08390089713022,80.08390089713022,80.08390089713022,76.28869840723286,76.28869840723286,76.28869840723286
44,75.32336747841363,75.32336747841363,75.32336747841363,73.51218496600966,73.51218496600966,73.51218496600966,81.5703254127356,81.5703254127356,81.5703254127356,74.6523113804655,74.6523113804655,74.6523113804655,74.32874102105671,74.32874102105671,74.32874102105671,73.8108100821184,73.8108100821184,73.8108100821184,71.89101532512257,71.89101532512257,71.89101532512257,78.16723702093299,78.16723702093299,78.16723702093299,76.8429320464731,76.8429320464731,76.8429320464731,72.81555834623695,72.81555834623695,72.81555834623695
45,75.80645582557528,75.80645582557528,75.80645582557528,73.21704282595178,73.21704282595178,73.21704282595178,74.81692915678342,74.81692915678342,74.81692915678342,73.73204228032947,73.73204228032947,73.73204228032947,78.61169984511719,78.61169984511719,78.61169984511719,77.88638325586636,77.88638325586636,77.88638325586636,73.88550966832682,73.88550966832682,73.88550966832682,83.4745685020419,83.4745685020419,83.4745685020419,78.22901136386263,78.22901136386263,78.22901136386263,76.33621925295084,76.33621925295084,76.33621925295084
46,75.15233168912533,75.15233168912533,75.15233168912533,73.54082501395742,73.54082501395742,73.54082501395742,76.24454853694942,76.24454853694942,76.24454853694942,74.57578450525494,74.57578450525494,74.57578450525494,74.7795176533845,74.7795176533845,74.7795176533845,75.87216924096941,75.87216924096941,75.87216924096941,76.31055157090707,76.31055157090707,76.31055157090707,71.9575074285894,71.9575074285894,71.9575074285894,73.88800085051693,73.88800085051693,73.88800085051693,74.36081239076364,74.36081239076364,74.36081239076364
47,77.54347855623085,77.54347855623085,77.54347855623085,73.48912761101471,73.48912761101471,73.48912761101471,73.47717232447437,73.47717232447437,73.47717232447437,75.3031048582292,75.3031048582292,75.3031048582292,73.44286160354697,73.44286160354697,73.44286160354697,73.41698526626293,73.41698526626293,73.41698526626293,78.03239376129292,78.03239376129292,78.03239376129292,71.85390712716975,71.85390712716975,71.85390712716975,75.6676933743839,75.6676933743839,75.6676933743839,75.89880758705263,75.89880758705263,75.89880758705263
48,75.50289171006709,75.50289171006709,75.50289171006709,75.71334157237737,75.71334157237737,75.71334157237737,79.49466571899282,79.49466571899282,79.49466571899282,78.96008329474049,78.96008329474049,78.96008329474049,79.91499921445417,79.91499921445417,79.91499921445417,75.94813761730703,75.94813761730703,75.94813761730703,75.73601286523018,75.73601286523018,75.73601286523018,72.67589474935777,72.67589474935777,72.67589474935777,76.64995961457133,76.64995961457133,76.64995961457133,74.26254169578235,74.26254169578235,74.26254169578235
49,81.12616824843022,81.12616824843022,81.12616824843022,74.4466783521686,74.4466783521686,74.4466783521686,77.3853621511091,77.3853621511091,77.3853621511091,74.6327268379419,74.6327268379419,74.6327268379419,73.70475591947016,73.70475591947016,73.70475591947016,77.0417416093023,77.0417416093023,77.0417416093023,77.43307515157014,77.43307515157014,77.43307515157014,73.86571083871625,73.86571083871625,73.86571083871625,73.37989480382907,73.37989480382907,73.37989480382907,73.3211681930876,73.3211681930876,73.3211681930876
