"Step","ruby-donkey-21 - FID Score","ruby-donkey-21 - FID Score__MIN","ruby-donkey-21 - FID Score__MAX","misunderstood-plant-20 - FID Score","misunderstood-plant-20 - FID Score__MIN","misunderstood-plant-20 - FID Score__MAX","fresh-morning-19 - FID Score","fresh-morning-19 - FID Score__MIN","fresh-morning-19 - FID Score__MAX","sunny-grass-18 - FID Score","sunny-grass-18 - FID Score__MIN","sunny-grass-18 - FID Score__MAX","lemon-grass-17 - FID Score","lemon-grass-17 - FID Score__MIN","lemon-grass-17 - FID Score__MAX","wandering-hill-16 - FID Score","wandering-hill-16 - FID Score__MIN","wandering-hill-16 - FID Score__MAX","swept-rain-15 - FID Score","swept-rain-15 - FID Score__MIN","swept-rain-15 - FID Score__MAX","cosmic-forest-14 - FID Score","cosmic-forest-14 - FID Score__MIN","cosmic-forest-14 - FID Score__MAX","misty-smoke-13 - FID Score","misty-smoke-13 - FID Score__MIN","misty-smoke-13 - FID Score__MAX","earnest-plant-12 - FID Score","earnest-plant-12 - FID Score__MIN","earnest-plant-12 - FID Score__MAX"
"20","13.977950952700713","13.977950952700713","13.977950952700713","15.466697126657856","15.466697126657856","15.466697126657856","14.709218425191878","14.709218425191878","14.709218425191878","14.540772760791096","14.540772760791096","14.540772760791096","14.802184201367583","14.802184201367583","14.802184201367583","15.166178197384038","15.166178197384038","15.166178197384038","15.000938113863882","15.000938113863882","15.000938113863882","14.648350606963799","14.648350606963799","14.648350606963799","15.83295201124173","15.83295201124173","15.83295201124173","14.924941738451405","14.924941738451405","14.924941738451405"
"21","13.79886770849864","13.79886770849864","13.79886770849864","15.411645686535156","15.411645686535156","15.411645686535156","14.651249912217114","14.651249912217114","14.651249912217114","14.731047074192773","14.731047074192773","14.731047074192773","14.791511310212687","14.791511310212687","14.791511310212687","14.546235125772467","14.546235125772467","14.546235125772467","16.82136533178681","16.82136533178681","16.82136533178681","16.08198818468653","16.08198818468653","16.08198818468653","15.350783784869051","15.350783784869051","15.350783784869051","14.17165204104376","14.17165204104376","14.17165204104376"
"22","14.59559981670678","14.59559981670678","14.59559981670678","13.65454557103807","13.65454557103807","13.65454557103807","14.073874699466167","14.073874699466167","14.073874699466167","14.736281958592693","14.736281958592693","14.736281958592693","14.259460765084555","14.259460765084555","14.259460765084555","14.81507561060181","14.81507561060181","14.81507561060181","15.772893593746115","15.772893593746115","15.772893593746115","14.034245704395591","14.034245704395591","14.034245704395591","14.906526570510424","14.906526570510424","14.906526570510424","15.105882950723178","15.105882950723178","15.105882950723178"
"23","14.305985694742313","14.305985694742313","14.305985694742313","14.000104123934385","14.000104123934385","14.000104123934385","15.015601296206789","15.015601296206789","15.015601296206789","15.72681372403055","15.72681372403055","15.72681372403055","14.819200964204526","14.819200964204526","14.819200964204526","15.35403483138041","15.35403483138041","15.35403483138041","14.17117488871433","14.17117488871433","14.17117488871433","13.837848323601083","13.837848323601083","13.837848323601083","14.622912977297396","14.622912977297396","14.622912977297396","13.921484771761856","13.921484771761856","13.921484771761856"
"24","14.351129637679072","14.351129637679072","14.351129637679072","14.889825171648374","14.889825171648374","14.889825171648374","14.406936677955859","14.406936677955859","14.406936677955859","14.648307206665898","14.648307206665898","14.648307206665898","14.514288583043284","14.514288583043284","14.514288583043284","14.39110791196423","14.39110791196423","14.39110791196423","15.21825429598327","15.21825429598327","15.21825429598327","14.731502271948608","14.731502271948608","14.731502271948608","14.591345169840706","14.591345169840706","14.591345169840706","14.207318759930091","14.207318759930091","14.207318759930091"
"25","14.07440166613851","14.07440166613851","14.07440166613851","15.373515168908948","15.373515168908948","15.373515168908948","13.755520069351558","13.755520069351558","13.755520069351558","15.245203820525354","15.245203820525354","15.245203820525354","14.919557265507507","14.919557265507507","14.919557265507507","14.485790002318193","14.485790002318193","14.485790002318193","14.443962536284202","14.443962536284202","14.443962536284202","14.613431729677025","14.613431729677025","14.613431729677025","14.064587962845206","14.064587962845206","14.064587962845206","16.47454864325161","16.47454864325161","16.47454864325161"
"26","15.334382211213427","15.334382211213427","15.334382211213427","14.854298942443725","14.854298942443725","14.854298942443725","15.09296755351454","15.09296755351454","15.09296755351454","15.522272216335558","15.522272216335558","15.522272216335558","14.994680679377904","14.994680679377904","14.994680679377904","14.360771426329599","14.360771426329599","14.360771426329599","14.045264388567015","14.045264388567015","14.045264388567015","13.928297981756499","13.928297981756499","13.928297981756499","14.79875278011901","14.79875278011901","14.79875278011901","14.364706160422953","14.364706160422953","14.364706160422953"
"27","14.468426332280202","14.468426332280202","14.468426332280202","15.520430169238054","15.520430169238054","15.520430169238054","15.210948817917634","15.210948817917634","15.210948817917634","15.553053024891","15.553053024891","15.553053024891","14.494681407514756","14.494681407514756","14.494681407514756","15.63444574734443","15.63444574734443","15.63444574734443","15.008532512304974","15.008532512304974","15.008532512304974","13.683709518148452","13.683709518148452","13.683709518148452","14.995617789954542","14.995617789954542","14.995617789954542","14.944716861286821","14.944716861286821","14.944716861286821"
"28","14.58968757087084","14.58968757087084","14.58968757087084","14.92793058634232","14.92793058634232","14.92793058634232","14.97489520829665","14.97489520829665","14.97489520829665","15.43595722201304","15.43595722201304","15.43595722201304","16.55491249644291","16.55491249644291","16.55491249644291","14.848614862210884","14.848614862210884","14.848614862210884","15.579730296094393","15.579730296094393","15.579730296094393","13.171445976369224","13.171445976369224","13.171445976369224","15.57223177075403","15.57223177075403","15.57223177075403","15.387746558461108","15.387746558461108","15.387746558461108"
"29","16.049055168993572","16.049055168993572","16.049055168993572","16.599857848755445","16.599857848755445","16.599857848755445","14.713664340466917","14.713664340466917","14.713664340466917","14.201694443833443","14.201694443833443","14.201694443833443","14.394771249808501","14.394771249808501","14.394771249808501","14.031909889075266","14.031909889075266","14.031909889075266","13.522212485200097","13.522212485200097","13.522212485200097","16.14970641050963","16.14970641050963","16.14970641050963","13.675116296105319","13.675116296105319","13.675116296105319","14.411434561473834","14.411434561473834","14.411434561473834"
