Step,dark-lake-52 - FID Score,dark-lake-52 - FID Score__MIN,dark-lake-52 - FID Score__MAX,usual-river-51 - FID Score,usual-river-51 - FID Score__MIN,usual-river-51 - FID Score__MAX,deep-dew-50 - FID Score,deep-dew-50 - FID Score__MIN,deep-dew-50 - FID Score__MAX,unique-wind-49 - FID Score,unique-wind-49 - FID Score__MIN,unique-wind-49 - FID Score__MAX,flowing-yogurt-48 - FID Score,flowing-yogurt-48 - FID Score__MIN,flowing-yogurt-48 - FID Score__MAX,effortless-durian-47 - FID Score,effortless-durian-47 - FID Score__MIN,effortless-durian-47 - FID Score__MAX,fallen-lion-46 - FID Score,fallen-lion-46 - FID Score__MIN,fallen-lion-46 - FID Score__MAX,efficient-flower-45 - FID Score,efficient-flower-45 - FID Score__MIN,efficient-flower-45 - FID Score__MAX,major-eon-44 - FID Score,major-eon-44 - FID Score__MIN,major-eon-44 - FID Score__MAX,frosty-glade-43 - FID Score,frosty-glade-43 - FID Score__MIN,frosty-glade-43 - FID Score__MAX
22,20.38824101913746,20.38824101913746,20.38824101913746,20.82363838284337,20.82363838284337,20.82363838284337,20.905257053660748,20.905257053660748,20.905257053660748,19.374033097859886,19.374033097859886,19.374033097859886,23.82712159982532,23.82712159982532,23.82712159982532,20.523750783531167,20.523750783531167,20.523750783531167,20.032847528871837,20.032847528871837,20.032847528871837,20.54495483534493,20.54495483534493,20.54495483534493,22.97535426770972,22.97535426770972,22.97535426770972,18.95071254663732,18.95071254663732,18.95071254663732
23,21.903121365867232,21.903121365867232,21.903121365867232,19.50660854861335,19.50660854861335,19.50660854861335,19.60025159350679,19.60025159350679,19.60025159350679,21.748171432126732,21.748171432126732,21.748171432126732,19.608933794000066,19.608933794000066,19.608933794000066,18.955849105260537,18.955849105260537,18.955849105260537,19.04355810226277,19.04355810226277,19.04355810226277,19.785850647466624,19.785850647466624,19.785850647466624,19.64625034381608,19.64625034381608,19.64625034381608,18.186539988100726,18.186539988100726,18.186539988100726
24,20.0782959250173,20.0782959250173,20.0782959250173,19.88971446340088,19.88971446340088,19.88971446340088,18.801900599072646,18.801900599072646,18.801900599072646,22.517384978493183,22.517384978493183,22.517384978493183,22.107515385426673,22.107515385426673,22.107515385426673,19.557195554921876,19.557195554921876,19.557195554921876,22.218220119898405,22.218220119898405,22.218220119898405,21.170118601116258,21.170118601116258,21.170118601116258,20.914653350573737,20.914653350573737,20.914653350573737,21.13326433998987,21.13326433998987,21.13326433998987
25,19.719653859231087,19.719653859231087,19.719653859231087,21.215862150484078,21.215862150484078,21.215862150484078,18.407441893852997,18.407441893852997,18.407441893852997,18.70911083798271,18.70911083798271,18.70911083798271,18.438905379380135,18.438905379380135,18.438905379380135,21.660498966169598,21.660498966169598,21.660498966169598,20.945573765281274,20.945573765281274,20.945573765281274,20.556419844288264,20.556419844288264,20.556419844288264,19.36916544304543,19.36916544304543,19.36916544304543,18.93444436642154,18.93444436642154,18.93444436642154
26,20.17414141238106,20.17414141238106,20.17414141238106,19.845099181952058,19.845099181952058,19.845099181952058,21.120376047393734,21.120376047393734,21.120376047393734,23.835926048338933,23.835926048338933,23.835926048338933,20.755951615917034,20.755951615917034,20.755951615917034,22.153742965845048,22.153742965845048,22.153742965845048,21.83909344103774,21.83909344103774,21.83909344103774,18.07860006391742,18.07860006391742,18.07860006391742,19.850510898795036,19.850510898795036,19.850510898795036,22.172841375975036,22.172841375975036,22.172841375975036
27,19.749184850798464,19.749184850798464,19.749184850798464,21.421263405875887,21.421263405875887,21.421263405875887,20.10798450466693,20.10798450466693,20.10798450466693,21.937391570547415,21.937391570547415,21.937391570547415,19.1039648219722,19.1039648219722,19.1039648219722,21.57041100695894,21.57041100695894,21.57041100695894,17.61828956916988,17.61828956916988,17.61828956916988,24.295098868424894,24.295098868424894,24.295098868424894,19.760090570638173,19.760090570638173,19.760090570638173,21.78438075629337,21.78438075629337,21.78438075629337
28,22.340138290637228,22.340138290637228,22.340138290637228,20.22414489968065,20.22414489968065,20.22414489968065,18.246149497728695,18.246149497728695,18.246149497728695,19.871304949988016,19.871304949988016,19.871304949988016,19.04392369794193,19.04392369794193,19.04392369794193,19.57566665345431,19.57566665345431,19.57566665345431,19.917944377594367,19.917944377594367,19.917944377594367,22.253440605954545,22.253440605954545,22.253440605954545,22.2050927092926,22.2050927092926,22.2050927092926,18.109255980086722,18.109255980086722,18.109255980086722
29,20.332460373450644,20.332460373450644,20.332460373450644,21.107584460150008,21.107584460150008,21.107584460150008,19.642646964199805,19.642646964199805,19.642646964199805,19.79306320560015,19.79306320560015,19.79306320560015,19.21060642949348,19.21060642949348,19.21060642949348,20.72835541851127,20.72835541851127,20.72835541851127,20.532286811084475,20.532286811084475,20.532286811084475,19.409102530433344,19.409102530433344,19.409102530433344,24.248222290571135,24.248222290571135,24.248222290571135,21.070839374211367,21.070839374211367,21.070839374211367
30,20.21890492490924,20.21890492490924,20.21890492490924,20.91568794765187,20.91568794765187,20.91568794765187,18.73283559424212,18.73283559424212,18.73283559424212,20.97544594651957,20.97544594651957,20.97544594651957,19.465693501888346,19.465693501888346,19.465693501888346,20.175925285954825,20.175925285954825,20.175925285954825,21.453644872755103,21.453644872755103,21.453644872755103,20.333324102529684,20.333324102529684,20.333324102529684,20.152522980615515,20.152522980615515,20.152522980615515,21.295828348666966,21.295828348666966,21.295828348666966
31,20.886100616280668,20.886100616280668,20.886100616280668,22.181693807263997,22.181693807263997,22.181693807263997,20.471836788491732,20.471836788491732,20.471836788491732,18.283501353320652,18.283501353320652,18.283501353320652,20.304548619582036,20.304548619582036,20.304548619582036,19.91633919952571,19.91633919952571,19.91633919952571,22.822061240003492,22.822061240003492,22.822061240003492,20.4516670222901,20.4516670222901,20.4516670222901,19.201288055714485,19.201288055714485,19.201288055714485,20.84720579820771,20.84720579820771,20.84720579820771
