Step,elated-aardvark-15 - FID Score,elated-aardvark-15 - FID Score__MIN,elated-aardvark-15 - FID Score__MAX,true-spaceship-14 - FID Score,true-spaceship-14 - FID Score__MIN,true-spaceship-14 - FID Score__MAX,quiet-firebrand-13 - FID Score,quiet-firebrand-13 - FID Score__MIN,quiet-firebrand-13 - FID Score__MAX,proud-spaceship-12 - FID Score,proud-spaceship-12 - FID Score__MIN,proud-spaceship-12 - FID Score__MAX,vivid-water-11 - FID Score,vivid-water-11 - FID Score__MIN,vivid-water-11 - FID Score__MAX,deep-wave-10 - FID Score,deep-wave-10 - FID Score__MIN,deep-wave-10 - FID Score__MAX,exalted-dew-8 - FID Score,exalted-dew-8 - FID Score__MIN,exalted-dew-8 - FID Score__MAX,woven-donkey-4 - FID Score,woven-donkey-4 - FID Score__MIN,woven-donkey-4 - FID Score__MAX,hardy-dawn-3 - FID Score,hardy-dawn-3 - FID Score__MIN,hardy-dawn-3 - FID Score__MAX,classic-salad-2 - FID Score,classic-salad-2 - FID Score__MIN,classic-salad-2 - FID Score__MAX
23,50.97918665160074,50.97918665160074,50.97918665160074,53.91926386938715,53.91926386938715,53.91926386938715,53.87746355681413,53.87746355681413,53.87746355681413,54.27310232497255,54.27310232497255,54.27310232497255,60.04958741450118,60.04958741450118,60.04958741450118,56.77152116239868,56.77152116239868,56.77152116239868,56.83896121007928,56.83896121007928,56.83896121007928,62.66383285206746,62.66383285206746,62.66383285206746,58.94691696568001,58.94691696568001,58.94691696568001,54.17930663376978,54.17930663376978,54.17930663376978
24,53.6683705164136,53.6683705164136,53.6683705164136,56.82757573113799,56.82757573113799,56.82757573113799,55.33283618110538,55.33283618110538,55.33283618110538,62.9443989697244,62.9443989697244,62.9443989697244,55.842990767435694,55.842990767435694,55.842990767435694,52.62753683927767,52.62753683927767,52.62753683927767,55.768130581976116,55.768130581976116,55.768130581976116,54.16267328523082,54.16267328523082,54.16267328523082,56.52212323840452,56.52212323840452,56.52212323840452,77.1497714107234,77.1497714107234,77.1497714107234
25,53.99526028147899,53.99526028147899,53.99526028147899,57.180358153172,57.180358153172,57.180358153172,55.087863385148815,55.087863385148815,55.087863385148815,55.38847100052958,55.38847100052958,55.38847100052958,60.89488525875727,60.89488525875727,60.89488525875727,54.80858017033842,54.80858017033842,54.80858017033842,53.288018269224,53.288018269224,53.288018269224,64.1133678491511,64.1133678491511,64.1133678491511,54.95125163999995,54.95125163999995,54.95125163999995,56.84324087123771,56.84324087123771,56.84324087123771
26,51.62587804964424,51.62587804964424,51.62587804964424,57.622997414846544,57.622997414846544,57.622997414846544,54.693199186638566,54.693199186638566,54.693199186638566,64.69331393337393,64.69331393337393,64.69331393337393,57.971851621756926,57.971851621756926,57.971851621756926,57.93400351970021,57.93400351970021,57.93400351970021,55.894767360004195,55.894767360004195,55.894767360004195,58.24208476804162,58.24208476804162,58.24208476804162,58.693395852495094,58.693395852495094,58.693395852495094,60.931365314576965,60.931365314576965,60.931365314576965
27,54.52096128180139,54.52096128180139,54.52096128180139,59.764403267706,59.764403267706,59.764403267706,58.508101707233685,58.508101707233685,58.508101707233685,67.36858753237446,67.36858753237446,67.36858753237446,55.103466473230185,55.103466473230185,55.103466473230185,55.41985687016543,55.41985687016543,55.41985687016543,57.44822042048037,57.44822042048037,57.44822042048037,59.067245828497995,59.067245828497995,59.067245828497995,54.585771723362015,54.585771723362015,54.585771723362015,56.356602122867734,56.356602122867734,56.356602122867734
28,62.952021179032336,62.952021179032336,62.952021179032336,56.647327402056646,56.647327402056646,56.647327402056646,58.376254172664716,58.376254172664716,58.376254172664716,54.65843527431384,54.65843527431384,54.65843527431384,68.07704458247198,68.07704458247198,68.07704458247198,49.07235185790833,49.07235185790833,49.07235185790833,55.19474884069348,55.19474884069348,55.19474884069348,56.68511454302004,56.68511454302004,56.68511454302004,102.47621091935491,102.47621091935491,102.47621091935491,50.45875015613838,50.45875015613838,50.45875015613838
29,60.27298763481966,60.27298763481966,60.27298763481966,53.71061042588916,53.71061042588916,53.71061042588916,58.39422166698458,58.39422166698458,58.39422166698458,52.631048404360854,52.631048404360854,52.631048404360854,58.28530432928618,58.28530432928618,58.28530432928618,54.910150045443885,54.910150045443885,54.910150045443885,57.02069929847879,57.02069929847879,57.02069929847879,57.74170087554862,57.74170087554862,57.74170087554862,53.83222826715678,53.83222826715678,53.83222826715678,53.760944679890706,53.760944679890706,53.760944679890706
30,59.506303632803096,59.506303632803096,59.506303632803096,52.079321642407336,52.079321642407336,52.079321642407336,51.588172639578026,51.588172639578026,51.588172639578026,55.30010157579777,55.30010157579777,55.30010157579777,52.24271955180666,52.24271955180666,52.24271955180666,58.64057736054484,58.64057736054484,58.64057736054484,54.09261205144435,54.09261205144435,54.09261205144435,60.470318211629404,60.470318211629404,60.470318211629404,54.19518701886025,54.19518701886025,54.19518701886025,52.1079499631244,52.1079499631244,52.1079499631244
31,52.91190029370411,52.91190029370411,52.91190029370411,56.75359490207673,56.75359490207673,56.75359490207673,55.49698638498074,55.49698638498074,55.49698638498074,57.46673719306208,57.46673719306208,57.46673719306208,54.042423304241446,54.042423304241446,54.042423304241446,52.03409852565467,52.03409852565467,52.03409852565467,55.08240118414879,55.08240118414879,55.08240118414879,49.78581671964035,49.78581671964035,49.78581671964035,58.461115921165835,58.461115921165835,58.461115921165835,52.0499517277732,52.0499517277732,52.0499517277732
32,55.03069300312522,55.03069300312522,55.03069300312522,57.575069096207336,57.575069096207336,57.575069096207336,56.15493213526837,56.15493213526837,56.15493213526837,64.64120723583179,64.64120723583179,64.64120723583179,54.85066928338535,54.85066928338535,54.85066928338535,54.01103505838757,54.01103505838757,54.01103505838757,57.58376669439563,57.58376669439563,57.58376669439563,68.80605511364689,68.80605511364689,68.80605511364689,57.945754445116904,57.945754445116904,57.945754445116904,53.65739295938965,53.65739295938965,53.65739295938965
