Step,crisp-monkey-10 - FID Score,crisp-monkey-10 - FID Score__MIN,crisp-monkey-10 - FID Score__MAX,ethereal-firefly-9 - FID Score,ethereal-firefly-9 - FID Score__MIN,ethereal-firefly-9 - FID Score__MAX,smart-river-8 - FID Score,smart-river-8 - FID Score__MIN,smart-river-8 - FID Score__MAX,charmed-snow-7 - FID Score,charmed-snow-7 - FID Score__MIN,charmed-snow-7 - FID Score__MAX,iconic-rain-6 - FID Score,iconic-rain-6 - FID Score__MIN,iconic-rain-6 - FID Score__MAX,leafy-smoke-5 - FID Score,leafy-smoke-5 - FID Score__MIN,leafy-smoke-5 - FID Score__MAX,youthful-firefly-4 - FID Score,youthful-firefly-4 - FID Score__MIN,youthful-firefly-4 - FID Score__MAX,expert-haze-3 - FID Score,expert-haze-3 - FID Score__MIN,expert-haze-3 - FID Score__MAX,desert-disco-2 - FID Score,desert-disco-2 - FID Score__MIN,desert-disco-2 - FID Score__MAX,charmed-blaze-1 - FID Score,charmed-blaze-1 - FID Score__MIN,charmed-blaze-1 - FID Score__MAX
20,76.77436463881432,76.77436463881432,76.77436463881432,79.54512752021098,79.54512752021098,79.54512752021098,77.67345939840025,77.67345939840025,77.67345939840025,78.81317862876278,78.81317862876278,78.81317862876278,77.35288207690463,77.35288207690463,77.35288207690463,79.46795757769469,79.46795757769469,79.46795757769469,74.3804748931548,74.3804748931548,74.3804748931548,77.22202458629918,77.22202458629918,77.22202458629918,80.98822267157985,80.98822267157985,80.98822267157985,78.73707655290278,78.73707655290278,78.73707655290278
21,81.49883176894403,81.49883176894403,81.49883176894403,80.11976737841587,80.11976737841587,80.11976737841587,75.4990466882814,75.4990466882814,75.4990466882814,75.45572806728188,75.45572806728188,75.45572806728188,77.94545991634806,77.94545991634806,77.94545991634806,80.29916853506268,80.29916853506268,80.29916853506268,77.56072415305277,77.56072415305277,77.56072415305277,78.48778708916782,78.48778708916782,78.48778708916782,78.2628174707221,78.2628174707221,78.2628174707221,83.84854755065477,83.84854755065477,83.84854755065477
22,74.71662471601873,74.71662471601873,74.71662471601873,77.09398396151337,77.09398396151337,77.09398396151337,77.57371182685378,77.57371182685378,77.57371182685378,77.89125645388795,77.89125645388795,77.89125645388795,78.49060687028819,78.49060687028819,78.49060687028819,79.29243423433255,79.29243423433255,79.29243423433255,77.78523763210032,77.78523763210032,77.78523763210032,76.49326585676641,76.49326585676641,76.49326585676641,79.64493804338898,79.64493804338898,79.64493804338898,78.49816844917821,78.49816844917821,78.49816844917821
23,72.88387464423357,72.88387464423357,72.88387464423357,76.83756523356732,76.83756523356732,76.83756523356732,78.4858049676079,78.4858049676079,78.4858049676079,77.88486858886071,77.88486858886071,77.88486858886071,77.29403713972894,77.29403713972894,77.29403713972894,81.30959891773784,81.30959891773784,81.30959891773784,75.47574451752843,75.47574451752843,75.47574451752843,83.05699957544337,83.05699957544337,83.05699957544337,76.45173371588896,76.45173371588896,76.45173371588896,78.97231744159679,78.97231744159679,78.97231744159679
24,75.94667468908767,75.94667468908767,75.94667468908767,78.91857250382104,78.91857250382104,78.91857250382104,76.79921920273243,76.79921920273243,76.79921920273243,78.19809564561162,78.19809564561162,78.19809564561162,76.204760453091,76.204760453091,76.204760453091,74.95141715824221,74.95141715824221,74.95141715824221,79.56502499130823,79.56502499130823,79.56502499130823,76.8854195607324,76.8854195607324,76.8854195607324,76.72301673147828,76.72301673147828,76.72301673147828,76.12805598289155,76.12805598289155,76.12805598289155
25,76.27893918995511,76.27893918995511,76.27893918995511,75.96575659102893,75.96575659102893,75.96575659102893,72.99145937406291,72.99145937406291,72.99145937406291,74.8684216965819,74.8684216965819,74.8684216965819,76.21887186715861,76.21887186715861,76.21887186715861,76.73314566139882,76.73314566139882,76.73314566139882,75.85245491200345,75.85245491200345,75.85245491200345,77.48346316338542,77.48346316338542,77.48346316338542,79.6824871600738,79.6824871600738,79.6824871600738,75.99398569454841,75.99398569454841,75.99398569454841
26,75.8127660747671,75.8127660747671,75.8127660747671,78.5896099452202,78.5896099452202,78.5896099452202,75.96609215871027,75.96609215871027,75.96609215871027,77.57318703378162,77.57318703378162,77.57318703378162,76.21975361140086,76.21975361140086,76.21975361140086,75.36865516419063,75.36865516419063,75.36865516419063,81.75334983572563,81.75334983572563,81.75334983572563,76.02262727741584,76.02262727741584,76.02262727741584,77.4181865709046,77.4181865709046,77.4181865709046,77.00491519737787,77.00491519737787,77.00491519737787
27,76.35261582625327,76.35261582625327,76.35261582625327,80.17364865625503,80.17364865625503,80.17364865625503,78.68785187776228,78.68785187776228,78.68785187776228,76.93207913047195,76.93207913047195,76.93207913047195,80.18254797002203,80.18254797002203,80.18254797002203,78.11867856181544,78.11867856181544,78.11867856181544,78.80174357432706,78.80174357432706,78.80174357432706,77.04060432749563,77.04060432749563,77.04060432749563,78.22749583866543,78.22749583866543,78.22749583866543,75.80253009874892,75.80253009874892,75.80253009874892
28,78.1578600857599,78.1578600857599,78.1578600857599,78.15848859812249,78.15848859812249,78.15848859812249,73.97541031153831,73.97541031153831,73.97541031153831,74.08136744481752,74.08136744481752,74.08136744481752,80.0444439434329,80.0444439434329,80.0444439434329,76.8660886575909,76.8660886575909,76.8660886575909,78.09707640001709,78.09707640001709,78.09707640001709,76.50058266280206,76.50058266280206,76.50058266280206,84.89444891842913,84.89444891842913,84.89444891842913,76.79338830337285,76.79338830337285,76.79338830337285
29,72.96915492336693,72.96915492336693,72.96915492336693,76.8858064863459,76.8858064863459,76.8858064863459,76.30284040851349,76.30284040851349,76.30284040851349,76.41423318253418,76.41423318253418,76.41423318253418,76.20409267773405,76.20409267773405,76.20409267773405,74.6659480094016,74.6659480094016,74.6659480094016,79.81496879667651,79.81496879667651,79.81496879667651,80.75456904003586,80.75456904003586,80.75456904003586,76.67461072581636,76.67461072581636,76.67461072581636,77.04130637591163,77.04130637591163,77.04130637591163
