Step,mild-valley-28 - FID Score,mild-valley-28 - FID Score__MIN,mild-valley-28 - FID Score__MAX,pretty-morning-27 - FID Score,pretty-morning-27 - FID Score__MIN,pretty-morning-27 - FID Score__MAX,lively-morning-26 - FID Score,lively-morning-26 - FID Score__MIN,lively-morning-26 - FID Score__MAX,drawn-moon-24 - FID Score,drawn-moon-24 - FID Score__MIN,drawn-moon-24 - FID Score__MAX,zesty-shape-25 - FID Score,zesty-shape-25 - FID Score__MIN,zesty-shape-25 - FID Score__MAX,royal-sponge-18 - FID Score,royal-sponge-18 - FID Score__MIN,royal-sponge-18 - FID Score__MAX,charmed-fire-17 - FID Score,charmed-fire-17 - FID Score__MIN,charmed-fire-17 - FID Score__MAX,silvery-snowflake-16 - FID Score,silvery-snowflake-16 - FID Score__MIN,silvery-snowflake-16 - FID Score__MAX,apricot-firefly-15 - FID Score,apricot-firefly-15 - FID Score__MIN,apricot-firefly-15 - FID Score__MAX,colorful-breeze-14 - FID Score,colorful-breeze-14 - FID Score__MIN,colorful-breeze-14 - FID Score__MAX
32,59.01322894952907,59.01322894952907,59.01322894952907,55.37822641927191,55.37822641927191,55.37822641927191,61.6587659641235,61.6587659641235,61.6587659641235,55.10315313959444,55.10315313959444,55.10315313959444,57.9692482032537,57.9692482032537,57.9692482032537,57.888278654283766,57.888278654283766,57.888278654283766,55.5446798425517,55.5446798425517,55.5446798425517,56.16898471146418,56.16898471146418,56.16898471146418,65.88578523473387,65.88578523473387,65.88578523473387,60.380441631939526,60.380441631939526,60.380441631939526
33,60.31942415288948,60.31942415288948,60.31942415288948,56.62288840827679,56.62288840827679,56.62288840827679,59.32379659319906,59.32379659319906,59.32379659319906,56.69486716467222,56.69486716467222,56.69486716467222,60.12658272767009,60.12658272767009,60.12658272767009,58.128511620934916,58.128511620934916,58.128511620934916,51.36142650354694,51.36142650354694,51.36142650354694,57.44280937862809,57.44280937862809,57.44280937862809,62.59744431397887,62.59744431397887,62.59744431397887,61.334313974058794,61.334313974058794,61.334313974058794
34,60.958016148422786,60.958016148422786,60.958016148422786,59.76344774198674,59.76344774198674,59.76344774198674,56.379746664959754,56.379746664959754,56.379746664959754,55.38056149079411,55.38056149079411,55.38056149079411,55.50493486282949,55.50493486282949,55.50493486282949,59.00338089948009,59.00338089948009,59.00338089948009,56.79364458329114,56.79364458329114,56.79364458329114,54.588890816020395,54.588890816020395,54.588890816020395,61.98792474906405,61.98792474906405,61.98792474906405,60.06432336595981,60.06432336595981,60.06432336595981
35,59.521181867654434,59.521181867654434,59.521181867654434,56.47767096626925,56.47767096626925,56.47767096626925,59.34456831474168,59.34456831474168,59.34456831474168,55.03316253061035,55.03316253061035,55.03316253061035,57.60635376038106,57.60635376038106,57.60635376038106,54.498951640007796,54.498951640007796,54.498951640007796,57.45792947847194,57.45792947847194,57.45792947847194,58.40778180634394,58.40778180634394,58.40778180634394,64.62826814187574,64.62826814187574,64.62826814187574,57.905355065770564,57.905355065770564,57.905355065770564
36,62.441706290878344,62.441706290878344,62.441706290878344,59.38047730399148,59.38047730399148,59.38047730399148,56.47012088731077,56.47012088731077,56.47012088731077,53.72370400264147,53.72370400264147,53.72370400264147,60.56329374504195,60.56329374504195,60.56329374504195,55.91702542050012,55.91702542050012,55.91702542050012,52.930434479174835,52.930434479174835,52.930434479174835,55.25520213247573,55.25520213247573,55.25520213247573,62.064427042920414,62.064427042920414,62.064427042920414,61.47689977768284,61.47689977768284,61.47689977768284
37,61.321629830208614,61.321629830208614,61.321629830208614,59.847331438651295,59.847331438651295,59.847331438651295,62.849859139677484,62.849859139677484,62.849859139677484,53.38334231240011,53.38334231240011,53.38334231240011,56.441218591975456,56.441218591975456,56.441218591975456,58.0042551606205,58.0042551606205,58.0042551606205,57.35064849916434,57.35064849916434,57.35064849916434,59.740650307283104,59.740650307283104,59.740650307283104,60.58750438547556,60.58750438547556,60.58750438547556,59.44798804089424,59.44798804089424,59.44798804089424
38,59.855720476125256,59.855720476125256,59.855720476125256,57.17166857843969,57.17166857843969,57.17166857843969,57.33757651522132,57.33757651522132,57.33757651522132,60.332801861634344,60.332801861634344,60.332801861634344,57.90577801129497,57.90577801129497,57.90577801129497,57.559802915371236,57.559802915371236,57.559802915371236,57.06636539402521,57.06636539402521,57.06636539402521,52.76348770150267,52.76348770150267,52.76348770150267,60.24701649359085,60.24701649359085,60.24701649359085,60.2915052060075,60.2915052060075,60.2915052060075
39,51.987241709151064,51.987241709151064,51.987241709151064,58.87950434147441,58.87950434147441,58.87950434147441,55.89543818568447,55.89543818568447,55.89543818568447,56.592974709386496,56.592974709386496,56.592974709386496,58.46342074482387,58.46342074482387,58.46342074482387,59.734780548356085,59.734780548356085,59.734780548356085,55.310174967723334,55.310174967723334,55.310174967723334,55.558467460985554,55.558467460985554,55.558467460985554,59.77965576905078,59.77965576905078,59.77965576905078,56.602837466394625,56.602837466394625,56.602837466394625
40,56.03092294352784,56.03092294352784,56.03092294352784,56.01946746677645,56.01946746677645,56.01946746677645,63.361461885361045,63.361461885361045,63.361461885361045,54.633376311042774,54.633376311042774,54.633376311042774,57.20247825727968,57.20247825727968,57.20247825727968,52.51947629078521,52.51947629078521,52.51947629078521,58.883967263059446,58.883967263059446,58.883967263059446,52.59769820029685,52.59769820029685,52.59769820029685,59.68396673098038,59.68396673098038,59.68396673098038,57.24927597533427,57.24927597533427,57.24927597533427
41,60.784931510856524,60.784931510856524,60.784931510856524,59.175812429626376,59.175812429626376,59.175812429626376,58.48572265896924,58.48572265896924,58.48572265896924,56.10253985744765,56.10253985744765,56.10253985744765,58.13643133200054,58.13643133200054,58.13643133200054,56.60235723152974,56.60235723152974,56.60235723152974,52.802097890355405,52.802097890355405,52.802097890355405,56.55756802416526,56.55756802416526,56.55756802416526,63.52664175306649,63.52664175306649,63.52664175306649,58.0370163399751,58.0370163399751,58.0370163399751
42,59.62678302902539,59.62678302902539,59.62678302902539,57.787596928565804,57.787596928565804,57.787596928565804,62.97758028975124,62.97758028975124,62.97758028975124,52.65281188970767,52.65281188970767,52.65281188970767,62.023051732613595,62.023051732613595,62.023051732613595,55.61952059147448,55.61952059147448,55.61952059147448,55.50559152371437,55.50559152371437,55.50559152371437,54.71139526133561,54.71139526133561,54.71139526133561,64.74638079843098,64.74638079843098,64.74638079843098,55.77703432111304,55.77703432111304,55.77703432111304
43,59.783647188551946,59.783647188551946,59.783647188551946,61.87262560845413,61.87262560845413,61.87262560845413,57.487341970075406,57.487341970075406,57.487341970075406,56.31150810875434,56.31150810875434,56.31150810875434,60.53709244796723,60.53709244796723,60.53709244796723,57.243545048761206,57.243545048761206,57.243545048761206,54.54978248628373,54.54978248628373,54.54978248628373,56.22459054948007,56.22459054948007,56.22459054948007,62.81309136064841,62.81309136064841,62.81309136064841,59.53757657142595,59.53757657142595,59.53757657142595
44,58.059031803870056,58.059031803870056,58.059031803870056,64.43308963380633,64.43308963380633,64.43308963380633,57.52533434847125,57.52533434847125,57.52533434847125,56.78175782951137,56.78175782951137,56.78175782951137,62.933624746508045,62.933624746508045,62.933624746508045,55.465496519033806,55.465496519033806,55.465496519033806,54.68395795846772,54.68395795846772,54.68395795846772,53.99113857601465,53.99113857601465,53.99113857601465,65.60092162703543,65.60092162703543,65.60092162703543,59.98310111487514,59.98310111487514,59.98310111487514
45,59.18740239364324,59.18740239364324,59.18740239364324,57.26821265081334,57.26821265081334,57.26821265081334,59.59928734423056,59.59928734423056,59.59928734423056,53.5046157953192,53.5046157953192,53.5046157953192,58.14611538881998,58.14611538881998,58.14611538881998,56.143795277973595,56.143795277973595,56.143795277973595,55.823379546343574,55.823379546343574,55.823379546343574,56.873554646376434,56.873554646376434,56.873554646376434,59.56551350734794,59.56551350734794,59.56551350734794,53.87930737500098,53.87930737500098,53.87930737500098
46,60.52473470845926,60.52473470845926,60.52473470845926,56.50307568351684,56.50307568351684,56.50307568351684,63.51697886221051,63.51697886221051,63.51697886221051,55.14374936224527,55.14374936224527,55.14374936224527,54.51955769372311,54.51955769372311,54.51955769372311,55.3521213965177,55.3521213965177,55.3521213965177,55.9695403572951,55.9695403572951,55.9695403572951,57.18951424352065,57.18951424352065,57.18951424352065,60.12157934579968,60.12157934579968,60.12157934579968,58.33138920277436,58.33138920277436,58.33138920277436
47,57.95570188311203,57.95570188311203,57.95570188311203,56.06058837243697,56.06058837243697,56.06058837243697,56.72072181813111,56.72072181813111,56.72072181813111,55.32504779047106,55.32504779047106,55.32504779047106,58.36195191065479,58.36195191065479,58.36195191065479,54.8937422685911,54.8937422685911,54.8937422685911,57.446689280160236,57.446689280160236,57.446689280160236,54.01072939123942,54.01072939123942,54.01072939123942,62.10094573443127,62.10094573443127,62.10094573443127,59.16507322982269,59.16507322982269,59.16507322982269
48,63.73953201567401,63.73953201567401,63.73953201567401,57.140392981374376,57.140392981374376,57.140392981374376,60.1307043732247,60.1307043732247,60.1307043732247,54.751590164141305,54.751590164141305,54.751590164141305,56.767618272667164,56.767618272667164,56.767618272667164,56.150878840431105,56.150878840431105,56.150878840431105,55.6243869832105,55.6243869832105,55.6243869832105,54.26773026904217,54.26773026904217,54.26773026904217,58.4407919540557,58.4407919540557,58.4407919540557,59.69658427510166,59.69658427510166,59.69658427510166
49,68.37295167722777,68.37295167722777,68.37295167722777,54.32812060208233,54.32812060208233,54.32812060208233,67.59773564574272,67.59773564574272,67.59773564574272,52.523188495166735,52.523188495166735,52.523188495166735,54.576941039203206,54.576941039203206,54.576941039203206,59.68896809684239,59.68896809684239,59.68896809684239,57.99184946419679,57.99184946419679,57.99184946419679,55.05153042627542,55.05153042627542,55.05153042627542,59.66050395419822,59.66050395419822,59.66050395419822,59.806796106980684,59.806796106980684,59.806796106980684
