Step,giddy-wind-27 - FID Score,giddy-wind-27 - FID Score__MIN,giddy-wind-27 - FID Score__MAX,spring-frost-26 - FID Score,spring-frost-26 - FID Score__MIN,spring-frost-26 - FID Score__MAX,absurd-sky-25 - FID Score,absurd-sky-25 - FID Score__MIN,absurd-sky-25 - FID Score__MAX,jolly-hill-24 - FID Score,jolly-hill-24 - FID Score__MIN,jolly-hill-24 - FID Score__MAX,blooming-deluge-23 - FID Score,blooming-deluge-23 - FID Score__MIN,blooming-deluge-23 - FID Score__MAX,magic-glade-22 - FID Score,magic-glade-22 - FID Score__MIN,magic-glade-22 - FID Score__MAX,devout-forest-21 - FID Score,devout-forest-21 - FID Score__MIN,devout-forest-21 - FID Score__MAX,clear-brook-20 - FID Score,clear-brook-20 - FID Score__MIN,clear-brook-20 - FID Score__MAX,easy-bird-19 - FID Score,easy-bird-19 - FID Score__MIN,easy-bird-19 - FID Score__MAX,wise-plasma-18 - FID Score,wise-plasma-18 - FID Score__MIN,wise-plasma-18 - FID Score__MAX
20,95.29465870794141,95.29465870794141,95.29465870794141,99.36255611670337,99.36255611670337,99.36255611670337,101.3520622916594,101.3520622916594,101.3520622916594,105.94491500764067,105.94491500764067,105.94491500764067,90.24402395560699,90.24402395560699,90.24402395560699,116.2135530731623,116.2135530731623,116.2135530731623,162.88316648406516,162.88316648406516,162.88316648406516,114.37690831269518,114.37690831269518,114.37690831269518,94.16298337668456,94.16298337668456,94.16298337668456,143.48469599563268,143.48469599563268,143.48469599563268
21,96.58499001384878,96.58499001384878,96.58499001384878,97.48974233048149,97.48974233048149,97.48974233048149,94.89546120693217,94.89546120693217,94.89546120693217,94.98810342386224,94.98810342386224,94.98810342386224,104.71118270574524,104.71118270574524,104.71118270574524,107.56573973092976,107.56573973092976,107.56573973092976,119.07978386604611,119.07978386604611,119.07978386604611,120.64281216660797,120.64281216660797,120.64281216660797,91.4302567514202,91.4302567514202,91.4302567514202,120.79589806226254,120.79589806226254,120.79589806226254
22,94.87875695653634,94.87875695653634,94.87875695653634,96.48183880331975,96.48183880331975,96.48183880331975,106.85473458694882,106.85473458694882,106.85473458694882,102.67489133749069,102.67489133749069,102.67489133749069,98.81347498722755,98.81347498722755,98.81347498722755,97.49102516534829,97.49102516534829,97.49102516534829,125.37557593789403,125.37557593789403,125.37557593789403,115.60855703971734,115.60855703971734,115.60855703971734,99.83181326640235,99.83181326640235,99.83181326640235,123.8271635490532,123.8271635490532,123.8271635490532
23,89.61226553515593,89.61226553515593,89.61226553515593,99.96031164331703,99.96031164331703,99.96031164331703,94.93615014094212,94.93615014094212,94.93615014094212,109.64328576043272,109.64328576043272,109.64328576043272,102.62763525800564,102.62763525800564,102.62763525800564,102.95769567052149,102.95769567052149,102.95769567052149,118.7330476145851,118.7330476145851,118.7330476145851,116.65115582156042,116.65115582156042,116.65115582156042,95.16134144012608,95.16134144012608,95.16134144012608,127.29942713985633,127.29942713985633,127.29942713985633
24,90.48555164946245,90.48555164946245,90.48555164946245,103.26407692078669,103.26407692078669,103.26407692078669,97.97802195654846,97.97802195654846,97.97802195654846,106.85589684350862,106.85589684350862,106.85589684350862,95.31258440247413,95.31258440247413,95.31258440247413,107.91351020157218,107.91351020157218,107.91351020157218,146.148377539554,146.148377539554,146.148377539554,117.69392124816424,117.69392124816424,117.69392124816424,100.78037407553731,100.78037407553731,100.78037407553731,126.6976890143643,126.6976890143643,126.6976890143643
25,89.89269940484446,89.89269940484446,89.89269940484446,101.0125341923247,101.0125341923247,101.0125341923247,99.69614475399294,99.69614475399294,99.69614475399294,112.88530602992181,112.88530602992181,112.88530602992181,97.95836409778636,97.95836409778636,97.95836409778636,106.98355122129661,106.98355122129661,106.98355122129661,120.22182491878505,120.22182491878505,120.22182491878505,116.01183939524304,116.01183939524304,116.01183939524304,104.2860006222806,104.2860006222806,104.2860006222806,123.32685550589304,123.32685550589304,123.32685550589304
26,96.12809363352888,96.12809363352888,96.12809363352888,103.84885834508123,103.84885834508123,103.84885834508123,102.88686728408263,102.88686728408263,102.88686728408263,102.36490471253838,102.36490471253838,102.36490471253838,99.26519901254137,99.26519901254137,99.26519901254137,100.84153126697899,100.84153126697899,100.84153126697899,120.05885221723706,120.05885221723706,120.05885221723706,116.38635301146007,116.38635301146007,116.38635301146007,99.97746871598056,99.97746871598056,99.97746871598056,127.25603020318013,127.25603020318013,127.25603020318013
27,89.54285628955842,89.54285628955842,89.54285628955842,105.76741802479643,105.76741802479643,105.76741802479643,99.81461469105028,99.81461469105028,99.81461469105028,104.23420202469609,104.23420202469609,104.23420202469609,97.47157216195018,97.47157216195018,97.47157216195018,115.74394118818651,115.74394118818651,115.74394118818651,132.65179848360034,132.65179848360034,132.65179848360034,120.02927342563007,120.02927342563007,120.02927342563007,101.3231292258487,101.3231292258487,101.3231292258487,118.18885429055095,118.18885429055095,118.18885429055095
28,96.45091871887801,96.45091871887801,96.45091871887801,109.26464258621098,109.26464258621098,109.26464258621098,102.9215121477514,102.9215121477514,102.9215121477514,113.23096555523787,113.23096555523787,113.23096555523787,93.11474058270144,93.11474058270144,93.11474058270144,116.29642779289333,116.29642779289333,116.29642779289333,130.98028115069377,130.98028115069377,130.98028115069377,119.17290660933966,119.17290660933966,119.17290660933966,102.34119301849071,102.34119301849071,102.34119301849071,133.10312263695062,133.10312263695062,133.10312263695062
29,93.04167505026606,93.04167505026606,93.04167505026606,103.64456456010002,103.64456456010002,103.64456456010002,103.12270868586126,103.12270868586126,103.12270868586126,111.65202773606134,111.65202773606134,111.65202773606134,97.2838201692926,97.2838201692926,97.2838201692926,108.50642520592424,108.50642520592424,108.50642520592424,134.80468152082966,134.80468152082966,134.80468152082966,123.18881425151858,123.18881425151858,123.18881425151858,96.8618947466064,96.8618947466064,96.8618947466064,124.5530915446717,124.5530915446717,124.5530915446717
