Step,spring-planet-92 - FID Score,spring-planet-92 - FID Score__MIN,spring-planet-92 - FID Score__MAX,drawn-deluge-91 - FID Score,drawn-deluge-91 - FID Score__MIN,drawn-deluge-91 - FID Score__MAX,distinctive-snowflake-90 - FID Score,distinctive-snowflake-90 - FID Score__MIN,distinctive-snowflake-90 - FID Score__MAX,crimson-silence-89 - FID Score,crimson-silence-89 - FID Score__MIN,crimson-silence-89 - FID Score__MAX,golden-music-88 - FID Score,golden-music-88 - FID Score__MIN,golden-music-88 - FID Score__MAX,logical-leaf-87 - FID Score,logical-leaf-87 - FID Score__MIN,logical-leaf-87 - FID Score__MAX,dazzling-dew-86 - FID Score,dazzling-dew-86 - FID Score__MIN,dazzling-dew-86 - FID Score__MAX,azure-morning-85 - FID Score,azure-morning-85 - FID Score__MIN,azure-morning-85 - FID Score__MAX,polished-wood-84 - FID Score,polished-wood-84 - FID Score__MIN,polished-wood-84 - FID Score__MAX,efficient-snow-83 - FID Score,efficient-snow-83 - FID Score__MIN,efficient-snow-83 - FID Score__MAX
26,13.12574369749434,13.12574369749434,13.12574369749434,14.164115456384744,14.164115456384744,14.164115456384744,14.341432713166562,14.341432713166562,14.341432713166562,13.585399743440405,13.585399743440405,13.585399743440405,13.85647315400729,13.85647315400729,13.85647315400729,13.05912363448385,13.05912363448385,13.05912363448385,13.849948386233276,13.849948386233276,13.849948386233276,13.435342518207818,13.435342518207818,13.435342518207818,14.19988234107589,14.19988234107589,14.19988234107589,13.616945403447511,13.616945403447511,13.616945403447511
27,13.222004306217977,13.222004306217977,13.222004306217977,13.39547266134112,13.39547266134112,13.39547266134112,13.537320016369346,13.537320016369346,13.537320016369346,12.705385214466077,12.705385214466077,12.705385214466077,12.68661019478444,12.68661019478444,12.68661019478444,12.69792674828533,12.69792674828533,12.69792674828533,14.481068148724576,14.481068148724576,14.481068148724576,13.787999076762798,13.787999076762798,13.787999076762798,15.058225264694862,15.058225264694862,15.058225264694862,14.111232880849975,14.111232880849975,14.111232880849975
28,13.199329176952281,13.199329176952281,13.199329176952281,14.261171097604036,14.261171097604036,14.261171097604036,12.644543287919216,12.644543287919216,12.644543287919216,13.393941381161751,13.393941381161751,13.393941381161751,12.964116468493424,12.964116468493424,12.964116468493424,13.875061177847464,13.875061177847464,13.875061177847464,13.683146907764684,13.683146907764684,13.683146907764684,14.105251729761376,14.105251729761376,14.105251729761376,14.566441076873208,14.566441076873208,14.566441076873208,14.155045919287353,14.155045919287353,14.155045919287353
29,12.827746685733864,12.827746685733864,12.827746685733864,14.215671340025647,14.215671340025647,14.215671340025647,13.345024719409544,13.345024719409544,13.345024719409544,13.414680284739156,13.414680284739156,13.414680284739156,13.41459043895846,13.41459043895846,13.41459043895846,12.961869088707944,12.961869088707944,12.961869088707944,12.671890370424574,12.671890370424574,12.671890370424574,13.086821701113077,13.086821701113077,13.086821701113077,14.098528418169312,14.098528418169312,14.098528418169312,12.730869007889064,12.730869007889064,12.730869007889064
30,13.324776854029809,13.324776854029809,13.324776854029809,13.353809987262924,13.353809987262924,13.353809987262924,12.977908925992434,12.977908925992434,12.977908925992434,13.204185769630836,13.204185769630836,13.204185769630836,13.78313268277461,13.78313268277461,13.78313268277461,13.967391833243706,13.967391833243706,13.967391833243706,12.490903475742305,12.490903475742305,12.490903475742305,14.030603016221892,14.030603016221892,14.030603016221892,14.041457908090766,14.041457908090766,14.041457908090766,13.111042502111097,13.111042502111097,13.111042502111097
31,12.895001783215882,12.895001783215882,12.895001783215882,14.19122842098407,14.19122842098407,14.19122842098407,14.867276929243644,14.867276929243644,14.867276929243644,13.858738352170537,13.858738352170537,13.858738352170537,15.149559548803442,15.149559548803442,15.149559548803442,12.5486153574425,12.5486153574425,12.5486153574425,14.134053974232998,14.134053974232998,14.134053974232998,12.830759904496503,12.830759904496503,12.830759904496503,13.91798740419771,13.91798740419771,13.91798740419771,13.740982617738599,13.740982617738599,13.740982617738599
32,14.793939927828877,14.793939927828877,14.793939927828877,13.449881160745326,13.449881160745326,13.449881160745326,13.380382053341538,13.380382053341538,13.380382053341538,13.349608034434244,13.349608034434244,13.349608034434244,13.707580690505562,13.707580690505562,13.707580690505562,12.71011444162357,12.71011444162357,12.71011444162357,13.956620412767048,13.956620412767048,13.956620412767048,14.356300649276553,14.356300649276553,14.356300649276553,13.590165859631503,13.590165859631503,13.590165859631503,12.493073029043956,12.493073029043956,12.493073029043956
33,13.315942252935296,13.315942252935296,13.315942252935296,13.196906797016968,13.196906797016968,13.196906797016968,13.406080810170645,13.406080810170645,13.406080810170645,13.747661721079142,13.747661721079142,13.747661721079142,13.399288942436195,13.399288942436195,13.399288942436195,13.203174385371327,13.203174385371327,13.203174385371327,13.176599199742823,13.176599199742823,13.176599199742823,15.928708263346714,15.928708263346714,15.928708263346714,14.030385545930459,14.030385545930459,14.030385545930459,13.175665637410841,13.175665637410841,13.175665637410841
34,13.306041148674387,13.306041148674387,13.306041148674387,13.434360678683108,13.434360678683108,13.434360678683108,12.684671961289432,12.684671961289432,12.684671961289432,14.19728265251602,14.19728265251602,14.19728265251602,14.110886784874856,14.110886784874856,14.110886784874856,13.561536571651825,13.561536571651825,13.561536571651825,13.48239590838676,13.48239590838676,13.48239590838676,13.226940038776418,13.226940038776418,13.226940038776418,15.275761163794666,15.275761163794666,15.275761163794666,15.024725936875456,15.024725936875456,15.024725936875456
35,13.009623288734318,13.009623288734318,13.009623288734318,13.353306620884858,13.353306620884858,13.353306620884858,12.955631852253108,12.955631852253108,12.955631852253108,14.096999789848404,14.096999789848404,14.096999789848404,12.817944166700801,12.817944166700801,12.817944166700801,14.118127133295719,14.118127133295719,14.118127133295719,13.335242075570552,13.335242075570552,13.335242075570552,12.675134390145999,12.675134390145999,12.675134390145999,13.884883587073794,13.884883587073794,13.884883587073794,13.953549885937772,13.953549885937772,13.953549885937772
